fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221002 230822	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	125	TRUE	363373	0.152100301630075	0.218103508026999	7613	807	14990	37060000	107
20221002 230900	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	132	TRUE	363373	0.10239123475421	0.449584059218504	4796	241	14346	36532000	108
20221002 230931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	112	TRUE	363373	0.21095320993189	0.200916164293621	3468	660	15000	36199000	109
20221002 230950	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	38	TRUE	363373	0.208830183017059	0.90786134707306	2542	364	12679	35637000	110
20221002 231025	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	90	TRUE	363373	0.116329344066745	0.730745126858424	2074	964	14986	36609000	111
20221002 231054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	73	TRUE	363373	0.149503281960974	0.427000269160164	2396	113	13610	36568000	112
20221002 231108	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	46	TRUE	363373	0.299738164327925	0.998257144531305	7996	128	10863	35170000	113
20221002 231134	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	102	TRUE	363373	0.100521913256669	0.202988521468323	6913	710	14867	36163000	114
20221002 231200	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	38	TRUE	363373	0.101296981074447	0.743583893897827	1530	597	14987	37147000	115
20221002 231216	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	51	TRUE	363373	0.299252047592809	0.200340559213445	4378	928	14980	35274000	116
20221002 231308	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	315	TRUE	363373	0.102208384052061	0.2784762596462	7132	233	14360	36435000	117
20221002 231322	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	40	TRUE	363373	0.122561478421881	0.994488243660128	1675	17	14585	36771000	118
20221002 231352	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	89	TRUE	363373	0.100578988043212	0.559003657120697	3762	632	14993	36590000	119
20221002 231405	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	36	TRUE	363373	0.279588453990503	0.996380279922008	4522	16	14942	35787000	120
